"","id","biennium","url","relevancy"
"3226","WI_1997_REG_SB345",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB345",0.750554101587345
"6085","WI_2003_REG_SB2",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB2",0.749952857377603
"2089","WI_1997_REG_AB351",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB351",0.74749498813682
"3111","WI_1997_REG_SB233",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB233",0.74749498813682
"1719","WI_1997_AP8_AB1",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/AP8/AB1",0.743774075899047
"4861","WI_2001_REG_SB496",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB496",0.736555844631689
"1644","WI_1995_REG_SB668",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB668",0.730107248143827
"4693","WI_2001_REG_SB328",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB328",0.72995744373876
"14842","WI_2013_REG_AB383",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB383",0.72612720065043
"2388","WI_1997_REG_AB648",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB648",0.723642944444799
"2104","WI_1997_REG_AB366",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB366",0.719938678554916
"3050","WI_1997_REG_SB172",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB172",0.719724866553448
"16162","WI_2013_REG_SB620",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB620",0.719526975196872
"553","WI_1995_REG_AB817",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB817",0.717580808018029
"2400","WI_1997_REG_AB660",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB660",0.715156265223095
"3263","WI_1997_REG_SB382",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB382",0.715156265223095
"10857","WI_2009_REG_AB75",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB75",0.714548672867057
"5317","WI_2003_REG_AB367",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB367",0.713876245813406
"8350","WI_2005_REG_SB289",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB289",0.712382184527707
"10168","WI_2007_REG_SB115",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB115",0.71209427654066
"4002","WI_2001_REG_AB746",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB746",0.710756395343534
"14528","WI_2013_REG_AB70",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB70",0.709835272955048
"15599","WI_2013_REG_SB59",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB59",0.709835272955048
"1836","WI_1997_REG_AB100",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB100",0.708627295466377
"2953","WI_1997_REG_SB77",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB77",0.708627295466377
"2244","WI_1997_REG_AB505",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB505",0.707200878222453
"1053","WI_1995_REG_SB77",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB77",0.706016292584597
"10354","WI_2007_REG_SB301",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB301",0.704788823712729
"9716","WI_2007_REG_AB791",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB791",0.70270712804046
"14527","WI_2013_REG_AB69",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB69",0.701506856198254
"15596","WI_2013_REG_SB56",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB56",0.701506856198254
"14984","WI_2013_REG_AB524",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB524",0.701314895148991
"15943","WI_2013_REG_SB402",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB402",0.701314895148991
"12892","WI_2011_REG_AB40",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB40",0.701226401091022
"13794","WI_2011_REG_SB27",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB27",0.701226401091022
"9325","WI_2007_REG_AB400",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB400",0.700845317829702
"4417","WI_2001_REG_SB55",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB55",0.70071674752168
"2028","WI_1997_REG_AB291",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB291",0.699875376613929
"3260","WI_1997_REG_SB379",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB379",0.699728458884776
"9257","WI_2007_REG_AB332",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB332",0.69860273191946
"14497","WI_2013_REG_AB40",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB40",0.697497292276529
"10093","WI_2007_REG_SB40",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB40",0.697277431298849
"1033","WI_1995_REG_SB57",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB57",0.69701444566705
"10345","WI_2007_REG_SB292",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB292",0.696559271932578
"11666","WI_2009_REG_AB879",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB879",0.695380933459931
"12649","WI_2009_REG_SB697",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB697",0.695380933459931
"12018","WI_2009_REG_SB66",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB66",0.693659133730066
"2148","WI_1997_REG_AB410",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB410",0.692185506606701
"136","WI_1995_REG_AB405",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB405",0.690631372448674
"675","WI_1995_REG_AB937",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB937",0.690135972596784
"1982","WI_1997_REG_AB245",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB245",0.690135972596784
"9469","WI_2007_REG_AB544",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB544",0.690081842971422
"12565","WI_2009_REG_SB613",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB613",0.690072157101423
"1229","WI_1995_REG_SB253",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB253",0.689796421693533
"5897","WI_2003_REG_AB945",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB945",0.6890310290173
"12938","WI_2011_REG_AB86",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB86",0.688757987232998
"13824","WI_2011_REG_SB57",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB57",0.688757987232998
"977","WI_1995_REG_SB1",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB1",0.688408310547597
"81","WI_1995_REG_AB352",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB352",0.687774549593327
"11066","WI_2009_REG_AB283-engrossed",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB283-engrossed",0.68759035911823
"6310","WI_2003_REG_SB224",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB224",0.686908743755121
"9555","WI_2007_REG_AB630",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB630",0.686873726065726
"2079","WI_1997_REG_AB342",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB342",0.684683644484337
"3073","WI_1997_REG_SB195",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB195",0.684683644484337
"6127","WI_2003_REG_SB44",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB44",0.684462660806978
"1600","WI_1995_REG_SB624",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB624",0.684332907305754
"14073","WI_2011_REG_SB304",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB304",0.682948936470979
"11333","WI_2009_REG_AB547",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB547",0.682068587583645
"7104","WI_2005_REG_AB443",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB443",0.681473800600941
"12270","WI_2009_REG_SB318",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/SB318",0.681336648945392
"1837","WI_1997_REG_AB100-engrossed",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB100-engrossed",0.680756370224693
"2995","WI_1997_REG_SB118",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB118",0.680378984167716
"5408","WI_2003_REG_AB458",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB458",0.680371897862304
"8907","WI_2007_OC7_SB1",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/OC7/SB1",0.679687559213923
"28","WI_1995_REG_AB298",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB298",0.679049660209105
"9315","WI_2007_REG_AB390",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB390",0.678632554501664
"7883","WI_2005_REG_AB1220",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB1220",0.677905048374245
"13523","WI_2011_REG_AB670",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB670",0.67671443833359
"11286","WI_2009_REG_AB500",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB500",0.676628052949261
"1794","WI_1997_REG_AB59",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB59",0.675046534793841
"2946","WI_1997_REG_SB70",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB70",0.674839097449103
"3738","WI_2001_REG_AB482",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB482",0.674333793751246
"10938","WI_2009_REG_AB156",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB156",0.672468015507923
"14639","WI_2013_REG_AB180",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB180",0.672125786400743
"15714","WI_2013_REG_SB174",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB174",0.672125786400743
"3975","WI_2001_REG_AB719",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB719",0.671828629354966
"2080","WI_1997_REG_AB342-engrossed",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB342-engrossed",0.670761428221659
"6636","WI_2003_REG_SB550",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB550",0.67050749143745
"2254","WI_1997_REG_AB514-engrossed",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB514-engrossed",0.670347312421531
"3970","WI_2001_REG_AB714",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB714",0.669248008179233
"4736","WI_2001_REG_SB371",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB371",0.669248008179233
"14526","WI_2013_REG_AB68",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB68",0.669146962970772
"2616","WI_1997_REG_AB875",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB875",0.669062528128679
"3379","WI_1997_REG_SB498",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB498",0.668959207255486
"328","WI_1995_REG_AB594",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB594",0.668931500973376
"3926","WI_2001_REG_AB670",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB670",0.668799866729257
"4703","WI_2001_REG_SB338",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB338",0.668799866729257
"3825","WI_2001_REG_AB569",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB569",0.667827170552148
"9346","WI_2007_REG_AB421",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB421",0.667139740559539
"2536","WI_1997_REG_AB795",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB795",0.666797123602767
"3351","WI_1997_REG_SB470",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB470",0.666797123602767
"5371","WI_2003_REG_AB421",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/AB421",0.66678938538193
"10313","WI_2007_REG_SB260",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB260",0.666541962812182
"3038","WI_1997_REG_SB160",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB160",0.666341885898291
"13292","WI_2011_REG_AB439",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB439",0.665565702324766
"6916","WI_2005_REG_AB255",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB255",0.664672063590622
"4161","WI_2001_REG_AB903",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB903",0.664114922675403
"8592","WI_2005_REG_SB530",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB530",0.663827813738925
"14846","WI_2013_REG_AB387",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB387",0.663233742424961
"15849","WI_2013_REG_SB308",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB308",0.663233742424961
"14682","WI_2013_REG_AB223",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB223",0.662682888496193
"15676","WI_2013_REG_SB136",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB136",0.662497951747439
"7218","WI_2005_REG_AB557",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB557",0.661940642822914
"13059","WI_2011_REG_AB207",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB207",0.661923845949834
"15598","WI_2013_REG_SB58",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/SB58",0.661923845949834
"11065","WI_2009_REG_AB283",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB283",0.661347574137661
"2431","WI_1997_REG_AB690",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB690",0.661301586756973
"11628","WI_2009_REG_AB841",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB841",0.661250143844542
"3768","WI_2001_REG_AB512",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB512",0.661162375865041
"2253","WI_1997_REG_AB514",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB514",0.660265377276966
"8469","WI_2005_REG_SB408",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB408",0.660244668466914
"13920","WI_2011_REG_SB152",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/SB152",0.659537689747016
"6097","WI_2003_REG_SB14",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB14",0.659518841198088
"2474","WI_1997_REG_AB733",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB733",0.659458893408313
"3397","WI_1997_REG_SB516",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB516",0.659242661122305
"2509","WI_1997_REG_AB768",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB768",0.658886906300312
"3317","WI_1997_REG_SB436",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB436",0.658886906300312
"2906","WI_1997_REG_SB30",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB30",0.658094696567774
"10249","WI_2007_REG_SB196",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/SB196",0.657718404831253
"2313","WI_1997_REG_AB573",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB573",0.657612700749651
"25","WI_1995_REG_AB295",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/AB295",0.657349717456296
"9491","WI_2007_REG_AB566",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB566",0.657107562504495
"3870","WI_2001_REG_AB614",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB614",0.656949293151539
"4672","WI_2001_REG_SB307",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/SB307",0.656949293151539
"1422","WI_1995_REG_SB446",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB446",0.656657088397733
"9424","WI_2007_REG_AB499",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB499",0.656396001558832
"13513","WI_2011_REG_AB660",2011,"http://docs.legis.wisconsin.gov/document/proposaltext/2011/REG/AB660",0.653656035940075
"1761","WI_1997_REG_AB26",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB26",0.653517840575856
"7447","WI_2005_REG_AB784",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB784",0.653329294073263
"3737","WI_2001_REG_AB481",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB481",0.650797186645845
"2605","WI_1997_REG_AB864",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB864",0.650699023752721
"7754","WI_2005_REG_AB1091",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/AB1091",0.649991447906258
"8379","WI_2005_REG_SB318",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB318",0.649991447906258
"3197","WI_1997_REG_SB317",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB317",0.64879713116922
"8309","WI_2005_REG_SB248",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB248",0.648214472751583
"14529","WI_2013_REG_AB71",2013,"http://docs.legis.wisconsin.gov/document/proposaltext/2013/REG/AB71",0.648202641254115
"1076","WI_1995_REG_SB100",1995,"http://docs.legis.wisconsin.gov/document/proposaltext/1995/REG/SB100",0.648125110688449
"9322","WI_2007_REG_AB397",2007,"http://docs.legis.wisconsin.gov/document/proposaltext/2007/REG/AB397",0.647430931509333
"6300","WI_2003_REG_SB214-engrossed",2003,"http://docs.legis.wisconsin.gov/document/proposaltext/2003/REG/SB214-engrossed",0.646670506449335
"3609","WI_2001_REG_AB354",2001,"http://docs.legis.wisconsin.gov/document/proposaltext/2001/REG/AB354",0.64666216121909
"8356","WI_2005_REG_SB295",2005,"http://docs.legis.wisconsin.gov/document/proposaltext/2005/REG/SB295",0.645846635842232
"3409","WI_1997_REG_SB528",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB528",0.645728988813709
"11359","WI_2009_REG_AB573",2009,"http://docs.legis.wisconsin.gov/document/proposaltext/2009/REG/AB573",0.645219486681063
"2528","WI_1997_REG_AB787",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/AB787",0.645187283739053
"3330","WI_1997_REG_SB449",1997,"http://docs.legis.wisconsin.gov/document/proposaltext/1997/REG/SB449",0.645187283739053
